samplenr	I	II	V1	V2	V3	V4	V5	V6
0	40555	40885	0	0	0	0	0	0
1	40697.5	41035	0	0	0	0	0	0
2	40797.5	41137.5	0	0	0	0	0	0
3	40847.5	41192.5	0	0	0	0	0	0
4	40842.5	41195	0	0	0	0	0	0
5	40805	41157.5	0	0	0	0	0	0
6	40755	41110	0	0	0	0	0	0
7	40647.5	41010	0	0	0	0	0	0
8	40485	40847.5	0	0	0	0	0	0
9	40282.5	40657.5	0	0	0	0	0	0
10	40090	40480	0	0	0	0	0	0
11	39905	40285	0	0	0	0	0	0
12	39712.5	40090	0	0	0	0	0	0
13	39557.5	39932.5	0	0	0	0	0	0
14	39405	39767.5	0	0	0	0	0	0
15	39257.5	39620	0	0	0	0	0	0
16	39137.5	39492.5	0	0	0	0	0	0
17	39002.5	39355	0	0	0	0	0	0
18	38880	39242.5	0	0	0	0	0	0
19	38797.5	39150	0	0	0	0	0	0
20	38707.5	39052.5	0	0	0	0	0	0
21	38627.5	38980	0	0	0	0	0	0
22	38570	38920	0	0	0	0	0	0
23	38502.5	38852.5	0	0	0	0	0	0
24	38460	38817.5	0	0	0	0	0	0
25	38437.5	38795	0	0	0	0	0	0
26	38395	38757.5	0	0	0	0	0	0
27	38365	38732.5	0	0	0	0	0	0
28	38352.5	38710	0	0	0	0	0	0
29	38300	38660	0	0	0	0	0	0
30	38240	38602.5	0	0	0	0	0	0
31	38187.5	38545	0	0	0	0	0	0
32	38112.5	38472.5	0	0	0	0	0	0
33	38062.5	38422.5	0	0	0	0	0	0
34	38015	38370	0	0	0	0	0	0
35	37947.5	38302.5	0	0	0	0	0	0
36	37895	38245	0	0	0	0	0	0
37	37830	38175	0	0	0	0	0	0
38	37770	38110	0	0	0	0	0	0
39	37735	38070	0	0	0	0	0	0
40	37685	38017.5	0	0	0	0	0	0
41	37635	37965	0	0	0	0	0	0
42	37607.5	37937.5	0	0	0	0	0	0
43	37557.5	37887.5	0	0	0	0	0	0
44	37520	37847.5	0	0	0	0	0	0
45	37477.5	37800	0	0	0	0	0	0
46	37430	37745	0	0	0	0	0	0
47	37402.5	37715	0	0	0	0	0	0
48	37340	37647.5	0	0	0	0	0	0
49	37252.5	37555	0	0	0	0	0	0
50	37172.5	37477.5	0	0	0	0	0	0
51	37122.5	37427.5	0	0	0	0	0	0
52	37057.5	37355	0	0	0	0	0	0
53	36987.5	37287.5	0	0	0	0	0	0
54	36950	37240	0	0	0	0	0	0
55	36892.5	37180	0	0	0	0	0	0
56	36840	37127.5	0	0	0	0	0	0
57	36795	37072.5	0	0	0	0	0	0
58	36740	37020	0	0	0	0	0	0
59	36740	37012.5	0	0	0	0	0	0
60	36745	37012.5	0	0	0	0	0	0
61	36705	36985	0	0	0	0	0	0
62	36680	36962.5	0	0	0	0	0	0
63	36627.5	36915	0	0	0	0	0	0
64	36532.5	36835	0	0	0	0	0	0
65	36455	36767.5	0	0	0	0	0	0
66	36357.5	36680	0	0	0	0	0	0
67	36262.5	36587.5	0	0	0	0	0	0
68	36170	36495	0	0	0	0	0	0
69	36045	36380	0	0	0	0	0	0
70	35920	36247.5	0	0	0	0	0	0
71	35797.5	36117.5	0	0	0	0	0	0
72	35677.5	36000	0	0	0	0	0	0
73	35562.5	35877.5	0	0	0	0	0	0
74	35452.5	35762.5	0	0	0	0	0	0
75	35355	35655	0	0	0	0	0	0
76	35257.5	35550	0	0	0	0	0	0
77	35150	35447.5	0	0	0	0	0	0
78	35040	35337.5	0	0	0	0	0	0
79	34927.5	35225	0	0	0	0	0	0
80	34810	35115	0	0	0	0	0	0
81	34692.5	34992.5	0	0	0	0	0	0
82	34577.5	34870	0	0	0	0	0	0
83	34475	34757.5	0	0	0	0	0	0
84	34385	34655	0	0	0	0	0	0
85	34285	34552.5	0	0	0	0	0	0
86	34207.5	34467.5	0	0	0	0	0	0
87	34145	34395	0	0	0	0	0	0
88	34067.5	34315	0	0	0	0	0	0
89	34000	34242.5	0	0	0	0	0	0
90	33920	34162.5	0	0	0	0	0	0
91	33850	34095	0	0	0	0	0	0
92	33777.5	34025	0	0	0	0	0	0
93	33695	33955	0	0	0	0	0	0
94	33615	33882.5	0	0	0	0	0	0
95	33517.5	33792.5	0	0	0	0	0	0
96	33432.5	33712.5	0	0	0	0	0	0
97	33337.5	33610	0	0	0	0	0	0
98	33242.5	33515	0	0	0	0	0	0
99	33170	33435	0	0	0	0	0	0
100	33085	33335	0	0	0	0	0	0
101	32997.5	33247.5	0	0	0	0	0	0
102	32910	33165	0	0	0	0	0	0
103	32827.5	33080	0	0	0	0	0	0
104	32742.5	33000	0	0	0	0	0	0
105	32650	32915	0	0	0	0	0	0
106	32555	32832.5	0	0	0	0	0	0
107	32460	32755	0	0	0	0	0	0
108	32365	32677.5	0	0	0	0	0	0
109	32282.5	32610	0	0	0	0	0	0
110	32210	32547.5	0	0	0	0	0	0
111	32145	32495	0	0	0	0	0	0
112	32087.5	32435	0	0	0	0	0	0
113	32025	32375	0	0	0	0	0	0
114	31975	32335	0	0	0	0	0	0
115	31920	32282.5	0	0	0	0	0	0
116	31855	32222.5	0	0	0	0	0	0
117	31767.5	32137.5	0	0	0	0	0	0
118	31660	32037.5	0	0	0	0	0	0
119	31540	31935	0	0	0	0	0	0
120	31400	31810	0	0	0	0	0	0
121	31252.5	31675	0	0	0	0	0	0
122	31100	31545	0	0	0	0	0	0
123	30940	31397.5	0	0	0	0	0	0
124	30755	31217.5	0	0	0	0	0	0
125	30535	31002.5	0	0	0	0	0	0
126	30295	30760	0	0	0	0	0	0
127	30007.5	30472.5	0	0	0	0	0	0
128	29692.5	30145	0	0	0	0	0	0
129	29357.5	29797.5	0	0	0	0	0	0
130	28987.5	29405	0	0	0	0	0	0
131	28572.5	28967.5	0	0	0	0	0	0
132	28100	28472.5	0	0	0	0	0	0
133	27577.5	27925	0	0	0	0	0	0
134	26992.5	27325	0	0	0	0	0	0
135	26350	26660	0	0	0	0	0	0
136	25660	25942.5	0	0	0	0	0	0
137	24902.5	25170	0	0	0	0	0	0
138	24097.5	24342.5	0	0	0	0	0	0
139	23137.5	23370	0	0	0	0	0	0
140	21977.5	22202.5	0	0	0	0	0	0
141	20655	20862.5	0	0	0	0	0	0
142	19142.5	19345	0	0	0	0	0	0
143	17455	17650	0	0	0	0	0	0
144	15615	15797.5	0	0	0	0	0	0
145	13610	13790	0	0	0	0	0	0
146	11475	11650	0	0	0	0	0	0
147	9290	9457.5	0	0	0	0	0	0
148	7050	7215	0	0	0	0	0	0
149	4867.5	5017.5	0	0	0	0	0	0
150	2800	2950	0	0	0	0	0	0
151	812.5	970	0	0	0	0	0	0
152	-1012.5	-867.5	0	0	0	0	0	0
153	-2725	-2577.5	0	0	0	0	0	0
154	-4250	-4110	0	0	0	0	0	0
155	-5565	-5435	0	0	0	0	0	0
156	-6735	-6595	0	0	0	0	0	0
157	-7740	-7602.5	0	0	0	0	0	0
158	-8652.5	-8512.5	0	0	0	0	0	0
159	-9472.5	-9322.5	0	0	0	0	0	0
160	-10182.5	-10037.5	0	0	0	0	0	0
161	-10857.5	-10705	0	0	0	0	0	0
162	-11465	-11312.5	0	0	0	0	0	0
163	-12015	-11860	0	0	0	0	0	0
164	-12545	-12372.5	0	0	0	0	0	0
165	-13025	-12850	0	0	0	0	0	0
166	-13475	-13290	0	0	0	0	0	0
167	-13872.5	-13677.5	0	0	0	0	0	0
168	-14225	-14032.5	0	0	0	0	0	0
169	-14560	-14375	0	0	0	0	0	0
170	-14872.5	-14695	0	0	0	0	0	0
171	-15152.5	-14982.5	0	0	0	0	0	0
172	-15397.5	-15235	0	0	0	0	0	0
173	-15625	-15475	0	0	0	0	0	0
174	-15840	-15702.5	0	0	0	0	0	0
175	-16027.5	-15897.5	0	0	0	0	0	0
176	-16207.5	-16082.5	0	0	0	0	0	0
177	-16400	-16270	0	0	0	0	0	0
178	-16577.5	-16437.5	0	0	0	0	0	0
179	-16747.5	-16585	0	0	0	0	0	0
180	-16897.5	-16720	0	0	0	0	0	0
181	-17017.5	-16822.5	0	0	0	0	0	0
182	-17122.5	-16912.5	0	0	0	0	0	0
183	-17220	-16997.5	0	0	0	0	0	0
184	-17297.5	-17047.5	0	0	0	0	0	0
185	-17360	-17077.5	0	0	0	0	0	0
186	-17427.5	-17092.5	0	0	0	0	0	0
187	-17482.5	-17092.5	0	0	0	0	0	0
188	-17540	-17097.5	0	0	0	0	0	0
189	-17600	-17102.5	0	0	0	0	0	0
190	-17665	-17132.5	0	0	0	0	0	0
191	-17752.5	-17205	0	0	0	0	0	0
192	-17840	-17282.5	0	0	0	0	0	0
193	-17915	-17357.5	0	0	0	0	0	0
194	-18002.5	-17472.5	0	0	0	0	0	0
195	-18097.5	-17622.5	0	0	0	0	0	0
196	-18177.5	-17785	0	0	0	0	0	0
197	-18267.5	-17970	0	0	0	0	0	0
198	-18352.5	-18145	0	0	0	0	0	0
199	-18420	-18305	0	0	0	0	0	0
200	-18495	-18450	0	0	0	0	0	0
201	-18557.5	-18555	0	0	0	0	0	0
202	-18622.5	-18660	0	0	0	0	0	0
203	-18705	-18765	0	0	0	0	0	0
204	-18790	-18845	0	0	0	0	0	0
205	-18862.5	-18897.5	0	0	0	0	0	0
206	-18937.5	-18945	0	0	0	0	0	0
207	-18990	-18957.5	0	0	0	0	0	0
208	-19007.5	-18947.5	0	0	0	0	0	0
209	-19055	-18962.5	0	0	0	0	0	0
210	-19077.5	-18962.5	0	0	0	0	0	0
211	-19107.5	-18972.5	0	0	0	0	0	0
212	-19147.5	-18992.5	0	0	0	0	0	0
213	-19170	-19002.5	0	0	0	0	0	0
214	-19220	-19040	0	0	0	0	0	0
215	-19257.5	-19072.5	0	0	0	0	0	0
216	-19302.5	-19102.5	0	0	0	0	0	0
217	-19345	-19147.5	0	0	0	0	0	0
218	-19400	-19200	0	0	0	0	0	0
219	-19462.5	-19255	0	0	0	0	0	0
220	-19502.5	-19300	0	0	0	0	0	0
221	-19565	-19352.5	0	0	0	0	0	0
222	-19615	-19395	0	0	0	0	0	0
223	-19635	-19422.5	0	0	0	0	0	0
224	-19655	-19445	0	0	0	0	0	0
225	-19665	-19462.5	0	0	0	0	0	0
226	-19670	-19475	0	0	0	0	0	0
227	-19705	-19507.5	0	0	0	0	0	0
228	-19737.5	-19532.5	0	0	0	0	0	0
229	-19760	-19555	0	0	0	0	0	0
230	-19785	-19582.5	0	0	0	0	0	0
231	-19790	-19590	0	0	0	0	0	0
232	-19795	-19592.5	0	0	0	0	0	0
233	-19800	-19600	0	0	0	0	0	0
234	-19810	-19600	0	0	0	0	0	0
235	-19810	-19597.5	0	0	0	0	0	0
236	-19820	-19610	0	0	0	0	0	0
237	-19817.5	-19610	0	0	0	0	0	0
238	-19787.5	-19590	0	0	0	0	0	0
239	-19785	-19587.5	0	0	0	0	0	0
240	-19775	-19570	0	0	0	0	0	0
241	-19762.5	-19567.5	0	0	0	0	0	0
242	-19767.5	-19575	0	0	0	0	0	0
243	-19762.5	-19567.5	0	0	0	0	0	0
244	-19770	-19580	0	0	0	0	0	0
245	-19767.5	-19575	0	0	0	0	0	0
246	-19745	-19550	0	0	0	0	0	0
247	-19732.5	-19530	0	0	0	0	0	0
248	-19727.5	-19517.5	0	0	0	0	0	0
249	-19702.5	-19500	0	0	0	0	0	0
250	-19685	-19480	0	0	0	0	0	0
251	-19687.5	-19470	0	0	0	0	0	0
252	-19672.5	-19455	0	0	0	0	0	0
253	-19652.5	-19430	0	0	0	0	0	0
254	-19635	-19412.5	0	0	0	0	0	0
255	-19622.5	-19407.5	0	0	0	0	0	0
256	-19615	-19402.5	0	0	0	0	0	0
257	-19607.5	-19402.5	0	0	0	0	0	0
258	-19592.5	-19390	0	0	0	0	0	0
259	-19592.5	-19385	0	0	0	0	0	0
260	-19590	-19385	0	0	0	0	0	0
261	-19572.5	-19372.5	0	0	0	0	0	0
262	-19565	-19365	0	0	0	0	0	0
263	-19570	-19372.5	0	0	0	0	0	0
264	-19562.5	-19357.5	0	0	0	0	0	0
265	-19545	-19342.5	0	0	0	0	0	0
266	-19540	-19337.5	0	0	0	0	0	0
267	-19520	-19322.5	0	0	0	0	0	0
268	-19505	-19310	0	0	0	0	0	0
269	-19505	-19302.5	0	0	0	0	0	0
270	-19482.5	-19277.5	0	0	0	0	0	0
271	-19460	-19255	0	0	0	0	0	0
272	-19450	-19240	0	0	0	0	0	0
273	-19407.5	-19202.5	0	0	0	0	0	0
274	-19375	-19172.5	0	0	0	0	0	0
275	-19355	-19147.5	0	0	0	0	0	0
276	-19317.5	-19110	0	0	0	0	0	0
277	-19312.5	-19092.5	0	0	0	0	0	0
278	-19295	-19070	0	0	0	0	0	0
279	-19267.5	-19042.5	0	0	0	0	0	0
280	-19245	-19017.5	0	0	0	0	0	0
281	-19215	-18985	0	0	0	0	0	0
282	-19185	-18950	0	0	0	0	0	0
283	-19157.5	-18917.5	0	0	0	0	0	0
284	-19140	-18895	0	0	0	0	0	0
285	-19107.5	-18867.5	0	0	0	0	0	0
286	-19067.5	-18827.5	0	0	0	0	0	0
287	-19032.5	-18792.5	0	0	0	0	0	0
288	-18982.5	-18745	0	0	0	0	0	0
